,compound,neg,neu,pos,trading_date
211,0.8402,0.0,0.865,0.135,2015-11-11
212,-0.9682,0.265,0.699,0.036,2015-11-10
213,0.8807,0.0,0.91,0.09,2015-11-12
214,-0.8316,0.242,0.697,0.061,2015-11-24
215,0.4019,0.0,0.863,0.137,2015-11-25
216,0.9477,0.0,0.902,0.098,2015-12-02
217,0.7964,0.0,0.832,0.168,2015-12-01
218,0.9729,0.0,0.84,0.16,2015-12-03
219,0.3818,0.123,0.759,0.119,2015-12-04
220,0.6597,0.0,0.932,0.068,2015-12-10
221,0.7783,0.0,0.925,0.075,2015-12-16
222,0.5994,0.021,0.924,0.055,2015-12-17
223,0.6369,0.071,0.706,0.224,2015-12-22
224,-0.9774,0.123,0.848,0.029,2015-12-30
225,0.8176,0.046,0.887,0.067,2015-12-31
226,0.0,0.0,1.0,0.0,2016-01-01
227,0.0,0.0,1.0,0.0,2016-01-05
228,-0.3818,0.061,0.887,0.051,2016-01-06
229,0.0,0.0,1.0,0.0,2016-01-07
230,0.3818,0.0,0.913,0.087,2016-01-09
231,0.6249,0.0,0.924,0.076,2016-01-13
232,0.6353,0.042,0.882,0.076,2016-01-18
233,-0.7579,0.046,0.954,0.0,2016-01-20
234,0.4588,0.0,0.889,0.111,2016-01-21
235,0.8126,0.0,0.926,0.074,2016-01-22
236,0.1531,0.111,0.798,0.091,2016-01-27
237,0.9559,0.0,0.907,0.093,2016-01-28
238,0.9349,0.0,0.867,0.133,2016-01-29
239,-0.34,0.057,0.943,0.0,2016-01-31
240,0.5859,0.0,0.914,0.086,2016-02-02
241,-0.8225,0.19,0.81,0.0,2016-02-04
242,0.2023,0.0,0.945,0.055,2016-02-07
243,0.2023,0.061,0.861,0.078,2016-02-09
244,0.0,0.0,1.0,0.0,2016-02-08
245,0.8402,0.039,0.856,0.106,2016-02-11
246,0.0,0.0,1.0,0.0,2016-02-10
247,0.4767,0.079,0.732,0.19,2016-02-12
248,-0.1531,0.067,0.872,0.061,2016-02-13
249,0.6597,0.0,0.847,0.153,2016-02-14
250,0.936,0.026,0.827,0.147,2016-02-25
251,0.6808,0.049,0.849,0.102,2016-02-26
252,-0.6124,0.104,0.896,0.0,2016-02-29
253,-0.802,0.185,0.747,0.068,2016-03-01
254,-0.9337,0.103,0.882,0.015,2016-03-02
255,0.6444,0.013,0.918,0.069,2016-03-04
256,0.7351,0.0,0.913,0.087,2016-03-06
257,0.836,0.0,0.915,0.085,2016-03-10
258,0.7579,0.0,0.949,0.051,2016-03-09
259,-0.9231,0.182,0.771,0.047,2016-03-16
260,0.0,0.0,1.0,0.0,2016-03-18
261,-0.1989,0.048,0.952,0.0,2016-03-29
262,0.2732,0.0,0.704,0.296,2016-04-06
263,0.4019,0.0,0.87,0.13,2016-04-07
264,0.9186,0.0,0.83,0.17,2016-04-08
265,0.9545,0.0,0.872,0.128,2016-04-13
266,0.4215,0.0,0.887,0.113,2016-04-15
267,0.0,0.0,1.0,0.0,2016-04-19
268,-0.9459,0.333,0.643,0.025,2016-04-20
269,0.8689,0.0,0.802,0.198,2016-04-26
270,0.8029,0.0,0.904,0.096,2016-04-28
271,0.0,0.0,1.0,0.0,2016-04-27
272,0.743,0.075,0.801,0.125,2016-04-29
273,-0.7351,0.167,0.833,0.0,2016-05-01
274,-0.7351,0.167,0.833,0.0,2016-05-03
275,0.0808,0.038,0.916,0.046,2016-05-04
276,-0.0772,0.138,0.732,0.13,2016-05-05
277,-0.8316,0.129,0.871,0.0,2016-05-06
278,-0.0164,0.079,0.852,0.069,2016-05-09
279,-0.0258,0.05,0.901,0.049,2016-05-11
280,0.5267,0.0,0.672,0.328,2016-05-14
281,0.926,0.025,0.819,0.156,2016-05-16
282,0.5267,0.069,0.723,0.208,2016-05-17
283,0.7096,0.028,0.9,0.072,2016-05-27
284,0.3612,0.01,0.967,0.023,2016-06-03
285,0.7579,0.0,0.745,0.255,2016-06-07
286,0.1779,0.051,0.884,0.065,2016-06-08
287,0.296,0.0,0.82,0.18,2016-06-10
288,-0.2263,0.043,0.957,0.0,2016-06-12
289,0.8225,0.0,0.777,0.223,2016-06-13
290,0.6597,0.0,0.938,0.062,2016-06-14
291,-0.1027,0.051,0.949,0.0,2016-06-15
292,0.9382,0.0,0.905,0.095,2016-06-16
293,0.959,0.0,0.797,0.203,2016-06-21
294,0.5106,0.0,0.895,0.105,2016-06-20
295,0.4588,0.0,0.907,0.093,2016-06-22
