,compound,neg,neu,pos,trading_date
318,-0.0516,0.027,0.956,0.017,2014-03-25
319,-0.9633,0.095,0.905,0.0,2014-03-26
320,-0.3818,0.072,0.864,0.064,2014-03-27
321,-0.8316,0.148,0.784,0.068,2014-03-28
322,-0.25,0.097,0.903,0.0,2014-03-29
323,0.8807,0.0,0.869,0.131,2014-03-31
324,-0.7964,0.043,0.957,0.0,2014-04-01
325,0.9432,0.0,0.882,0.118,2014-04-02
326,0.2263,0.0,0.95,0.05,2014-04-03
327,0.8885,0.043,0.859,0.098,2014-04-04
328,0.9001,0.0,0.859,0.141,2014-04-05
329,0.2732,0.0,0.906,0.094,2014-04-07
330,-0.8271,0.053,0.947,0.0,2014-04-08
331,0.714,0.055,0.856,0.09,2014-04-09
332,0.4019,0.0,0.722,0.278,2014-04-10
333,0.4767,0.0,0.92,0.08,2014-04-11
334,0.0,0.0,1.0,0.0,2014-04-15
335,0.8176,0.018,0.864,0.118,2014-04-23
336,-0.7096,0.079,0.875,0.046,2014-04-24
337,-0.4019,0.042,0.926,0.031,2014-04-28
338,0.4215,0.06,0.826,0.114,2014-04-30
339,0.1531,0.016,0.967,0.018,2014-05-01
340,0.9375,0.031,0.823,0.146,2014-05-02
341,0.0,0.0,1.0,0.0,2014-05-05
342,0.1918,0.087,0.802,0.111,2014-05-06
343,0.8402,0.022,0.879,0.099,2014-05-07
344,0.296,0.038,0.893,0.069,2014-05-08
345,-0.5267,0.042,0.958,0.0,2014-05-09
346,0.9062,0.0,0.896,0.104,2014-05-13
347,-0.2732,0.063,0.937,0.0,2014-05-15
348,-0.4588,0.077,0.871,0.052,2014-05-16
349,-0.2263,0.083,0.827,0.091,2014-05-17
350,0.296,0.082,0.8,0.117,2014-05-19
351,-0.8481,0.074,0.899,0.027,2014-05-20
352,0.9895,0.049,0.773,0.179,2014-05-21
353,0.9358,0.015,0.865,0.12,2014-05-22
354,0.9459,0.0,0.82,0.18,2014-05-23
355,0.8126,0.0,0.885,0.115,2014-05-24
356,0.3612,0.0,0.862,0.138,2014-05-27
357,0.9744,0.0,0.823,0.177,2014-05-29
358,0.0,0.0,1.0,0.0,2014-05-31
359,0.943,0.0,0.904,0.096,2014-06-01
360,0.5423,0.0,0.847,0.153,2014-06-02
361,0.8074,0.0,0.729,0.271,2014-06-03
362,-0.1531,0.053,0.907,0.04,2014-06-07
363,0.0,0.0,1.0,0.0,2014-06-09
364,0.2023,0.0,0.962,0.038,2014-06-11
365,0.8442,0.0,0.955,0.045,2014-06-12
366,0.2263,0.0,0.929,0.071,2014-06-13
367,0.7089,0.034,0.856,0.11,2014-06-14
368,0.4939,0.075,0.747,0.179,2014-06-16
369,0.0,0.0,1.0,0.0,2014-06-17
370,-0.296,0.162,0.701,0.137,2014-06-19
371,-0.7845,0.134,0.801,0.064,2014-06-21
372,-0.8225,0.15,0.73,0.12,2014-06-23
373,-0.5859,0.094,0.848,0.058,2014-06-24
374,-0.8625,0.15,0.831,0.02,2014-06-25
